Unit ID,Unit Visit Gkey,Actual Outbound Carrier visit ID,Current Yard Block,Current Slot Position,Move Complete Time
CMAU6015436,3135726,8YF180216,CWIT-4D,Y-CWIT-4D135J.5,05/28/2026 06:00
MSCU6013087,3135724,8YF180216,CWIT-3A,Y-CWIT-3A451D.5,05/28/2026 05:59
OOLU6012393,3135721,8YF180216,CWIT-4D,Y-CWIT-4D073L.5,05/28/2026 05:58
CMAU6015978,3135720,8YF180216,CWIT-3A,Y-CWIT-3A509G.3,05/28/2026 05:58
GCXU6012360,3135718,8YF180216,CWIT-4D,Y-CWIT-4D938K.1,05/28/2026 05:57
TRLU6016071,3135717,8YF180216,CWIT-4D,Y-CWIT-4D230E.5,05/28/2026 05:56
MSCU6012327,3135716,8YF180216,CWIT-4D,Y-CWIT-4D829C.6,05/28/2026 05:55
MSCU6013039,3135715,8YF180216,CWIT-4D,Y-CWIT-4D471G.1,05/28/2026 05:55
GCXU6013552,3135714,8YF180216,CWIT-4D,Y-CWIT-4D244B.1,05/28/2026 05:55
GCXU6016070,3135710,8YF180216,CWIT-4D,Y-CWIT-4D243D.6,05/28/2026 05:53
HLCU6015843,3135709,8YF180216,CWIT-4D,Y-CWIT-4D052C.6,05/28/2026 05:52
MAEU6010747,3135706,8YF180216,CWIT-2A,Y-CWIT-2A770G.1,05/28/2026 05:51
MSCU6013048,3135704,8YF180216,CWIT-4D,Y-CWIT-4D208H.5,05/28/2026 05:50
MSCU6014542,3135703,8YF180216,CWIT-4D,Y-CWIT-4D478J.1,05/28/2026 05:49
CMAU6008773,3135700,8YF180216,CWIT-3A,Y-CWIT-3A250G.5,05/28/2026 05:48
ONEY6009832,3135701,8YF180216,CWIT-4D,Y-CWIT-4D919N.4,05/28/2026 05:48
MSCU6009444,3135697,8YF180216,CWIT-3A,Y-CWIT-3A386H.3,05/28/2026 05:46
OOLU6010226,3135696,8YF180216,CWIT-4D,Y-CWIT-4D266L.1,05/28/2026 05:46
CMAU6009381,3135693,8YF180216,CWIT-4D,Y-CWIT-4D404H.4,05/28/2026 05:45
