Time Completed,Event Type,Move Kind,Unit Category,Unit Nbr,Crane CHE,From Position,To Position,Carrier Visit,Line Op,Exclude
25-Nov-29 1754,UNIT_DISCHARGE,Discharge,Export,OOLU6007978,STS03,V-8YF180277-888333,Y-CWIT-2A310L.6,8YF180277,MSC,No
25-Nov-29 1754,UNIT_DISCHARGE,Discharge,Transship,ONEY6007979,STS06,V-8YF180277-634267,Y-CWIT-2A664C.4,8YF180277,MSC,No
25-Nov-29 1755,UNIT_DISCHARGE,Discharge,Transship,ONEY6007980,STS06,V-8YF180277-352927,Y-CWIT-2A663K.6,8YF180277,MSC,No
25-Nov-29 1755,UNIT_DISCHARGE,Discharge,Import,MSCU6007981,STS05,V-8YF180277-731537,Y-CWIT-2A100E.2,8YF180277,MSC,No
25-Nov-29 1755,UNIT_RESTOW,Restow,Export,ONEY6007980,STS03,Y-CWIT-2A293A.1,Y-CWIT-2A920N.1,8YF180277,MSC,No
25-Nov-29 1756,UNIT_DISCHARGE,Discharge,Import,CMAU6007982,STS04,V-8YF180277-636209,Y-CWIT-2A838M.3,8YF180277,MSC,No
25-Nov-29 1756,UNIT_DISCHARGE,Discharge,Transship,OOLU6007983,STS05,V-8YF180277-870734,Y-CWIT-2A826K.6,8YF180277,MSC,Yes
25-Nov-29 1757,UNIT_LOAD,Load,Export,OOLU6007983,STS05,Y-CWIT-2A952L.5,V-8YF180277-646260,8YF180277,MSC,No
25-Nov-29 1757,UNIT_LOAD,Load,Export,MSCU6007981,STS06,Y-CWIT-2A317A.4,V-8YF180277-787424,8YF180277,MSC,No
25-Nov-29 1757,UNIT_DISCHARGE,Discharge,Import,MSCU6007981,STS03,V-8YF180277-215570,Y-CWIT-2A020H.3,8YF180277,MSC,No
25-Nov-29 1758,UNIT_DISCHARGE,Discharge,Export,OOLU6007983,STS05,V-8YF180277-457879,Y-CWIT-2A175C.3,8YF180277,MSC,No
25-Nov-29 1758,UNIT_DISCHARGE,Discharge,Transship,MSCU6007984,STS03,V-8YF180277-766921,Y-CWIT-2A372N.5,8YF180277,MSC,No
25-Nov-29 1759,UNIT_DISCHARGE,Discharge,Export,HLCU6007985,STS03,V-8YF180277-378043,Y-CWIT-2A731F.4,8YF180277,MSC,Yes
25-Nov-29 1759,UNIT_DISCHARGE,Discharge,Import,ONEY6007986,STS04,V-8YF180277-437711,Y-CWIT-2A356L.2,8YF180277,MSC,Yes
25-Nov-29 1759,UNIT_DISCHARGE,Discharge,Import,TRLU6007987,STS05,V-8YF180277-263684,Y-CWIT-2A627N.4,8YF180277,MSC,No
25-Nov-29 1800,UNIT_DISCHARGE,Discharge,Import,HLCU6007988,STS01,V-8YF180277-342308,Y-CWIT-2A103B.2,8YF180277,MSC,No
25-Nov-29 1800,UNIT_DISCHARGE,Discharge,Export,GCXU6007989,STS01,V-8YF180277-489852,Y-CWIT-2A609E.6,8YF180277,MSC,No
25-Nov-29 1801,UNIT_DISCHARGE,Discharge,Export,MSCU6007990,STS01,V-8YF180277-961666,Y-CWIT-2A116K.1,8YF180277,MSC,No
25-Nov-29 1801,UNIT_DISCHARGE,Discharge,Import,HLCU6007991,STS06,V-8YF180277-157611,Y-CWIT-2A256K.4,8YF180277,MSC,No
25-Nov-29 1801,UNIT_RESTOW,Restow,Import,TRLU6007987,STS04,Y-CWIT-2A966L.6,Y-CWIT-2A536K.6,8YF180277,MSC,No
25-Nov-29 1802,UNIT_LOAD,Load,Import,TRLU6007987,STS04,Y-CWIT-2A913K.5,V-8YF180277-264080,8YF180277,MSC,No
25-Nov-29 1802,UNIT_DISCHARGE,Discharge,Import,MAEU6007992,STS05,V-8YF180277-275643,Y-CWIT-2A880K.2,8YF180277,MSC,No
25-Nov-29 1803,UNIT_DISCHARGE,Discharge,Export,OOLU6007993,STS03,V-8YF180277-635221,Y-CWIT-2A995L.6,8YF180277,MSC,No
25-Nov-29 1803,UNIT_DISCHARGE,Discharge,Import,OOLU6007994,STS03,V-8YF180277-722011,Y-CWIT-2A429A.4,8YF180277,MSC,No
25-Nov-29 1804,UNIT_DISCHARGE,Discharge,Import,CMAU6007995,STS04,V-8YF180277-379136,Y-CWIT-2A786A.6,8YF180277,MSC,No
25-Nov-29 1804,UNIT_DISCHARGE,Discharge,Import,TRLU6007987,STS03,V-8YF180277-111450,Y-CWIT-2A765K.6,8YF180277,MSC,No
25-Nov-29 1804,UNIT_DISCHARGE,Discharge,Transship,OOLU6007996,STS03,V-8YF180277-479508,Y-CWIT-2A712N.6,8YF180277,MSC,Yes
25-Nov-29 1805,UNIT_DISCHARGE,Discharge,Import,MAEU6007997,STS03,V-8YF180277-112304,Y-CWIT-2A209N.2,8YF180277,MSC,No
25-Nov-29 1805,UNIT_DISCHARGE,Discharge,Import,ONEY6007998,STS01,V-8YF180277-504348,Y-CWIT-2A456D.4,8YF180277,MSC,No
25-Nov-29 1806,UNIT_DISCHARGE,Discharge,Import,CMAU6007999,STS01,V-8YF180277-756905,Y-CWIT-2A439C.5,8YF180277,MSC,No
25-Nov-29 1806,UNIT_DISCHARGE,Discharge,Transship,MSCU6008000,STS03,V-8YF180277-169613,Y-CWIT-2A608K.5,8YF180277,MSC,No
25-Nov-29 1806,UNIT_LOAD,Load,Transship,HLCU6007988,STS06,Y-CWIT-2A675K.1,V-8YF180277-899309,8YF180277,MSC,No
25-Nov-29 1807,UNIT_RESTOW,Restow,Export,MSCU6007981,STS03,Y-CWIT-2A708E.6,Y-CWIT-2A499C.4,8YF180277,MSC,No
25-Nov-29 1807,UNIT_RESTOW,Restow,Export,MSCU6007981,STS06,Y-CWIT-2A187L.2,Y-CWIT-2A164D.6,8YF180277,MSC,No
25-Nov-29 1808,UNIT_LOAD,Load,Transship,ONEY6007979,STS01,Y-CWIT-2A048N.4,V-8YF180277-523826,8YF180277,MSC,No
25-Nov-29 1808,UNIT_DISCHARGE,Discharge,Import,HLCU6007988,STS04,V-8YF180277-151419,Y-CWIT-2A909B.4,8YF180277,MSC,Yes
25-Nov-29 1809,UNIT_DISCHARGE,Discharge,Export,ONEY6007979,STS05,V-8YF180277-966082,Y-CWIT-2A085J.1,8YF180277,MSC,Yes
25-Nov-29 1809,UNIT_DISCHARGE,Discharge,Export,OOLU6008001,STS06,V-8YF180277-214044,Y-CWIT-2A660G.6,8YF180277,MSC,No
25-Nov-29 1809,UNIT_DISCHARGE,Discharge,Transship,MAEU6008002,STS01,V-8YF180277-280670,Y-CWIT-2A230D.2,8YF180277,MSC,No
25-Nov-29 1810,UNIT_DISCHARGE,Discharge,Import,TRLU6008003,STS03,V-8YF180277-486203,Y-CWIT-2A746C.5,8YF180277,MSC,No
25-Nov-29 1810,UNIT_LOAD,Load,Export,TRLU6008003,STS01,Y-CWIT-2A473B.6,V-8YF180277-550800,8YF180277,MSC,No
25-Nov-29 1811,UNIT_RESTOW,Restow,Export,MAEU6008002,STS04,Y-CWIT-2A743E.4,Y-CWIT-2A678G.5,8YF180277,MSC,No
25-Nov-29 1811,UNIT_LOAD,Load,Transship,MSCU6007981,STS06,Y-CWIT-2A608D.6,V-8YF180277-569301,8YF180277,MSC,Yes
25-Nov-29 1811,UNIT_LOAD,Load,Transship,HLCU6007988,STS05,Y-CWIT-2A566N.5,V-8YF180277-579952,8YF180277,MSC,No
25-Nov-29 1812,UNIT_DISCHARGE,Discharge,Import,HLCU6007988,STS04,V-8YF180277-503937,Y-CWIT-2A062G.2,8YF180277,MSC,No
25-Nov-29 1812,UNIT_DISCHARGE,Discharge,Transship,TRLU6008003,STS03,V-8YF180277-661133,Y-CWIT-2A085N.3,8YF180277,MSC,No
25-Nov-29 1813,UNIT_DISCHARGE,Discharge,Export,MSCU6007981,STS06,V-8YF180277-205529,Y-CWIT-2A383C.4,8YF180277,MSC,No
25-Nov-29 1813,UNIT_DISCHARGE,Discharge,Transship,OOLU6008004,STS05,V-8YF180277-715985,Y-CWIT-2A590K.6,8YF180277,MSC,Yes
