Unit ID,Unit Visit Gkey,Actual Outbound Carrier visit ID,Current Yard Block,Current Slot Position,Move Complete Time
CMAU6000728,3068265,MAE180084,PEB-C,Y-PEB-C17034C4,05/22/2026 18:57
MSCU6005364,3068263,MAE180084,PEB-C,Y-PEB-C90446C4,05/22/2026 18:56
HLCU6007597,3068261,MAE180084,PEB-C,Y-PEB-C58870C5,05/22/2026 18:55
ONEY6007977,3068262,MAE180084,PEB-C,Y-PEB-C63949C6,05/22/2026 18:55
MAEU6004558,3068258,MAE180084,PEB-C,Y-PEB-C69414C1,05/22/2026 18:53
GCXU6006376,3068255,MAE180084,PEB-G,Y-PEB-G69123C2,05/22/2026 18:52
TRLU6007976,3068256,MAE180084,PEB-C,Y-PEB-C56191C5,05/22/2026 18:52
MAEU6007860,3068253,MAE180084,PEB-D,Y-PEB-D40042C2,05/22/2026 18:51
HLCU6002577,3068251,MAE180084,PEB-C,Y-PEB-C70145C2,05/22/2026 18:50
MAEU6007975,3068252,MAE180084,PEB-C,Y-PEB-C99590C4,05/22/2026 18:50
CMAU6005064,3068249,MAE180084,PEB-C,Y-PEB-C11890C1,05/22/2026 18:49
CMAU6005812,3068250,MAE180084,PEB-H,Y-PEB-H48798C2,05/22/2026 18:49
GCXU6002464,3068248,MAE180084,PEB-C,Y-PEB-C62194C2,05/22/2026 18:48
ONEY6005500,3068246,MAE180084,PEB-A,Y-PEB-A69238C1,05/22/2026 18:47
GCXU6000956,3068244,MAE180084,PEB-C,Y-PEB-C82870C1,05/22/2026 18:46
CMAU6001376,3068243,MAE180084,PEB-C,Y-PEB-C92498C4,05/22/2026 18:45
GCXU6005685,3068242,MAE180084,PEB-A,Y-PEB-A62280C1,05/22/2026 18:45
ONEY6007691,3068240,MAE180084,PEB-G,Y-PEB-G70978C6,05/22/2026 18:44
HLCU6004094,3068238,MAE180084,PEB-C,Y-PEB-C23774C2,05/22/2026 18:43
MAEU6002970,3068237,MAE180084,PEB-G,Y-PEB-G41562C5,05/22/2026 18:42
ONEY6005663,3068232,MAE180084,PEB-C,Y-PEB-C70074C1,05/22/2026 18:40
TRLU6000094,3068231,MAE180084,PEB-H,Y-PEB-H84770C3,05/22/2026 18:39
GCXU6001306,3068230,MAE180084,PEB-C,Y-PEB-C16394C3,05/22/2026 18:39
MSCU6000513,3068229,MAE180084,PEB-A,Y-PEB-A13540C5,05/22/2026 18:38
HLCU6007536,3068228,MAE180084,PEB-H,Y-PEB-H63391C6,05/22/2026 18:38
ONEY6002191,3068227,MAE180084,PEB-H,Y-PEB-H11971C6,05/22/2026 18:37
MAEU6007974,3068226,MAE180084,PEB-H,Y-PEB-H36965C3,05/22/2026 18:37
HLCU6001777,3068225,MAE180084,PEB-G,Y-PEB-G22229C1,05/22/2026 18:36
OOLU6000934,3068224,MAE180084,PEB-H,Y-PEB-H20537C1,05/22/2026 18:35
CMAU6006681,3068223,MAE180084,PEB-G,Y-PEB-G12847C2,05/22/2026 18:35
ONEY6000364,3068221,MAE180084,PEB-H,Y-PEB-H54127C3,05/22/2026 18:34
MAEU6004468,3068222,MAE180084,PEB-H,Y-PEB-H65545C6,05/22/2026 18:34
HLCU6006527,3068219,MAE180084,PEB-H,Y-PEB-H86293C1,05/22/2026 18:33
CMAU6006818,3068217,MAE180084,PEB-H,Y-PEB-H32091C5,05/22/2026 18:32
CMAU6001588,3068214,MAE180084,PEB-H,Y-PEB-H44862C5,05/22/2026 18:30
OOLU6007973,3068213,MAE180084,PEB-H,Y-PEB-H75285C4,05/22/2026 18:30
CMAU6007972,3068211,MAE180084,PEB-H,Y-PEB-H61116C4,05/22/2026 18:29
GCXU6006583,3068210,MAE180084,PEB-H,Y-PEB-H43971C5,05/22/2026 18:28
CMAU6002715,3068208,MAE180084,PEB-H,Y-PEB-H57942C4,05/22/2026 18:27
ONEY6003740,3068209,MAE180084,PEB-H,Y-PEB-H33772C5,05/22/2026 18:27
OOLU6007727,3068206,MAE180084,PEB-H,Y-PEB-H34196C5,05/22/2026 18:26
TRLU6003749,3068205,MAE180084,PEB-H,Y-PEB-H22649C1,05/22/2026 18:25
GCXU6005097,3068204,MAE180084,PEB-H,Y-PEB-H72527C2,05/22/2026 18:25
CMAU6005598,3068202,MAE180084,PEB-H,Y-PEB-H33152C6,05/22/2026 18:24
HLCU6004409,3068201,MAE180084,PEB-H,Y-PEB-H24192C2,05/22/2026 18:23
OOLU6002504,3068199,MAE180084,PEB-H,Y-PEB-H76338C5,05/22/2026 18:22
MSCU6007971,3068198,MAE180084,PEB-H,Y-PEB-H47235C5,05/22/2026 18:22
GCXU6007970,3068196,MAE180084,PEB-H,Y-PEB-H39695C3,05/22/2026 18:21
TRLU6004471,3068195,MAE180084,PEB-H,Y-PEB-H79345C1,05/22/2026 18:20
MSCU6004824,3068192,MAE180084,PEB-H,Y-PEB-H20743C4,05/22/2026 18:19
HLCU6007968,3068190,MAE180084,PEB-H,Y-PEB-H52181C4,05/22/2026 18:18
GCXU6007969,3068191,MAE180084,PEB-H,Y-PEB-H46977C1,05/22/2026 18:18
CMAU6005204,3068189,MAE180084,PEB-H,Y-PEB-H74029C6,05/22/2026 18:17
HLCU6005827,3068188,MAE180084,PEB-A,Y-PEB-A64074C1,05/22/2026 18:16
CMAU6006268,3068187,MAE180084,PEB-H,Y-PEB-H76013C2,05/22/2026 18:16
ONEY6003906,3068186,MAE180084,PEB-H,Y-PEB-H78318C6,05/22/2026 18:15
HLCU6007967,3068184,MAE180084,PEB-H,Y-PEB-H98340C1,05/22/2026 18:14
GCXU6007966,3068182,MAE180084,PEB-H,Y-PEB-H33069C5,05/22/2026 18:13
ONEY6000602,3068178,MAE180084,PEB-H,Y-PEB-H28333C3,05/22/2026 18:11
MAEU6001775,3068177,MAE180084,PEB-H,Y-PEB-H58996C5,05/22/2026 18:11
OOLU6002720,3068175,MAE180084,PEB-H,Y-PEB-H59575C5,05/22/2026 18:10
MAEU6007964,3068173,MAE180084,PEB-H,Y-PEB-H62228C4,05/22/2026 18:09
TRLU6007965,3068174,MAE180084,PEB-H,Y-PEB-H31953C2,05/22/2026 18:09
MAEU6000858,3068171,MAE180084,PEB-H,Y-PEB-H33197C5,05/22/2026 18:08
MAEU6005943,3068170,MAE180084,PEB-H,Y-PEB-H70133C6,05/22/2026 18:07
OOLU6007963,3068169,MAE180084,PEB-H,Y-PEB-H22528C3,05/22/2026 18:06
MAEU6006925,3067774,CQN180024,PEB-H,Y-PEB-H64546C2,05/22/2026 05:12
HLCU6007180,3067771,CQN180024,PEB-H,Y-PEB-H84442C6,05/22/2026 05:12
TRLU6007707,3067773,CQN180024,PEB-H,Y-PEB-H67581C4,05/22/2026 05:12
HLCU6001837,3067768,CQN180024,PEB-H,Y-PEB-H93121C6,05/22/2026 05:11
MAEU6005368,3067770,CQN180024,PEB-H,Y-PEB-H19545C1,05/22/2026 05:11
MAEU6005326,3067767,CQN180024,PEB-H,Y-PEB-H85186C5,05/22/2026 05:10
GCXU6005342,3067764,CQN180024,PEB-H,Y-PEB-H73375C2,05/22/2026 05:09
MSCU6007910,3067763,CQN180024,PEB-H,Y-PEB-H51277C4,05/22/2026 05:09
CMAU6007911,3067765,CQN180024,PEB-H,Y-PEB-H17680C3,05/22/2026 05:09
TRLU6003367,3067761,CQN180024,PEB-H,Y-PEB-H64233C6,05/22/2026 05:08
HLCU6007582,3067757,CQN180024,PEB-F,Y-PEB-F35080C1,05/22/2026 05:07
CMAU6007909,3067758,CQN180024,PEB-H,Y-PEB-H74757C1,05/22/2026 05:07
GCXU6002145,3067754,CQN180024,PEB-H,Y-PEB-H80169C5,05/22/2026 05:05
CMAU6007248,3067750,CQN180024,PEB-H,Y-PEB-H32034C1,05/22/2026 05:04
HLCU6001780,3067748,CQN180024,PEB-H,Y-PEB-H22642C6,05/22/2026 05:03
MSCU6006994,3067744,CQN180024,PEB-H,Y-PEB-H88085C1,05/22/2026 05:02
GCXU6007908,3067743,CQN180024,PEB-H,Y-PEB-H57678C4,05/22/2026 05:02
TRLU6004124,3067740,CQN180024,PEB-A,Y-PEB-A94055C6,05/22/2026 05:01
TRLU6007907,3067742,CQN180024,PEB-H,Y-PEB-H68758C6,05/22/2026 05:01
MSCU6000068,3067738,CQN180024,PEB-D,Y-PEB-D94282C6,05/22/2026 05:00
GCXU6003014,3067736,CQN180024,PEB-A,Y-PEB-A47413C2,05/22/2026 04:59
HLCU6004123,3067732,CQN180024,PEB-H,Y-PEB-H32193C4,05/22/2026 04:58
MSCU6005493,3067731,CQN180024,PEB-H,Y-PEB-H22022C4,05/22/2026 04:57
