Unit ID,Unit Visit Gkey,Complex Id,Facility Id,Yard Id,Category Id,Equipment Class,Container Length,Equipment type,Freight Kind,Destination,Unit Weight in kg,Verified Gross Mass (Kg),Reefer,OOG Unit,Hazardous Flag,Hazard UN Numbers,IMDG Code,Stow Code 1,Stow Code 2,Stow Code 3,Port of Discharge,Actual Inbound Carrier visit ID,Inbound Service,Actual Outbound Carrier visit ID,Outbound Service,Arrival Mode,Current Position,Visit State,Transit State,Time Out,Time In,Move Complete Time,Ctr From Position,Ctr To Position
GCXU6000001,3000001,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTY,,29646.125631,29777.75813,No,No,Yes,7,2.1,,,,CNNGB,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F86477C2,IN_YARD,S40_YARD,12/01/2025 22:28,12/01/2025 17:50,12/01/2025 17:50,V-8YF180025-196214,Y-PEB-F86477C2
OOLU6000002,3000002,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTL,,19886.713166,20006.72412,No,Yes,No,,,,,,SGSIN,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F55394C4,IN_YARD,S40_YARD,12/01/2025 23:15,12/01/2025 17:51,12/01/2025 17:51,V-8YF180025-385320,Y-PEB-F55394C4
GCXU6000001,3000003,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC20,20ft General,FCL,,10497.394102,10766.37884,No,Yes,No,,,,,,JPYOK,,,8YF180025,VS-PEB-03,TRUCK,V-8YF180025-321494,3DEPARTED,S70_DEPARTED,12/01/2025 21:09,12/01/2025 13:47,12/01/2025 17:52,Y-PEB-F10736C3,V-8YF180025-321494
GCXU6000001,3000004,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTL,,23110.137901,23535.14729,No,Yes,No,,,,,,CNNGB,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F11968C1,IN_YARD,S40_YARD,12/02/2025 01:54,12/01/2025 17:52,12/01/2025 17:52,V-8YF180025-557409,Y-PEB-F11968C1
MAEU6000003,3000005,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,FCL,,30985.990731,31462.41717,No,No,No,,,,,,INMAA,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F54723C2,IN_YARD,S40_YARD,12/01/2025 22:56,12/01/2025 17:53,12/01/2025 17:53,V-8YF180025-192410,Y-PEB-F54723C2
MAEU6000004,3000006,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,FCL,,11992.058675,12271.77615,No,No,Yes,9,4.1,,,,INMAA,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F84492C2,IN_YARD,S40_YARD,12/01/2025 21:33,12/01/2025 17:54,12/01/2025 17:54,V-8YF180025-468154,Y-PEB-F84492C2
MSCU6000005,3000007,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTL,,4260.598207,4593.17515,No,No,No,,,,,,KRPUS,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F67892C6,IN_YARD,S40_YARD,12/02/2025 02:49,12/01/2025 17:55,12/01/2025 17:55,V-8YF180025-814220,Y-PEB-F67892C6
MSCU6000006,3000008,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube Reefer,MTY,,20941.553601,21257.69249,Yes,Yes,No,,,,,,KRPUS,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F13817C3,IN_YARD,S40_YARD,12/02/2025 01:45,12/01/2025 17:56,12/01/2025 17:56,V-8YF180025-573866,Y-PEB-F13817C3
MAEU6000007,3000009,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTL,,28876.302967,29290.72013,No,No,No,,,,,,KRPUS,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F25417C4,IN_YARD,S40_YARD,12/01/2025 20:40,12/01/2025 17:57,12/01/2025 17:57,V-8YF180025-625721,Y-PEB-F25417C4
MSCU6000008,3000010,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTY,,31729.580679,32053.99311,No,No,No,,,,,,JPYOK,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F89353C6,IN_YARD,S40_YARD,12/02/2025 00:08,12/01/2025 17:57,12/01/2025 17:57,V-8YF180025-528625,Y-PEB-F89353C6
