Time Completed,Event Type,Move Kind,Unit Category,Unit Nbr,Crane CHE,From Position,To Position,Carrier Visit,Line Op,Exclude
25-Nov-25 2153,UNIT_DISCHARGE,Discharge,Import,GCXU6000001,STS05,V-8YF180025-196214,Y-PEB-F86477C2,8YF180025,MKL,No
25-Nov-25 2154,UNIT_DISCHARGE,Discharge,Import,OOLU6000002,STS05,V-8YF180025-385320,Y-PEB-F55394C4,8YF180025,MKL,No
25-Nov-25 2155,UNIT_LOAD,Load,Import,GCXU6000001,STS05,Y-PEB-F10736C3,V-8YF180025-321494,8YF180025,MKL,No
25-Nov-25 2156,UNIT_DISCHARGE,Discharge,Export,GCXU6000001,STS05,V-8YF180025-557409,Y-PEB-F11968C1,8YF180025,MKL,Yes
25-Nov-25 2156,UNIT_DISCHARGE,Discharge,Import,MAEU6000003,STS03,V-8YF180025-192410,Y-PEB-F54723C2,8YF180025,MKL,No
25-Nov-25 2157,UNIT_DISCHARGE,Discharge,Transship,MAEU6000004,STS05,V-8YF180025-468154,Y-PEB-F84492C2,8YF180025,MKL,No
25-Nov-25 2158,UNIT_DISCHARGE,Discharge,Import,MSCU6000005,STS03,V-8YF180025-814220,Y-PEB-F67892C6,8YF180025,MKL,No
25-Nov-25 2159,UNIT_DISCHARGE,Discharge,Transship,MSCU6000006,STS03,V-8YF180025-573866,Y-PEB-F13817C3,8YF180025,MKL,No
25-Nov-25 2200,UNIT_DISCHARGE,Discharge,Import,MAEU6000007,STS03,V-8YF180025-625721,Y-PEB-F25417C4,8YF180025,MKL,No
25-Nov-25 2200,UNIT_DISCHARGE,Discharge,Export,MSCU6000008,STS03,V-8YF180025-528625,Y-PEB-F89353C6,8YF180025,MKL,No
25-Nov-25 2201,UNIT_LOAD,Load,Export,GCXU6000001,STS03,Y-PEB-F18384C6,V-8YF180025-248298,8YF180025,MKL,Yes
25-Nov-25 2202,UNIT_DISCHARGE,Discharge,Import,GCXU6000001,STS05,V-8YF180025-777406,Y-PEB-F78664C5,8YF180025,MKL,No
25-Nov-25 2203,UNIT_DISCHARGE,Discharge,Transship,HLCU6000009,STS02,V-8YF180025-794083,Y-PEB-F44489C2,8YF180025,MKL,No
25-Nov-25 2204,UNIT_DISCHARGE,Discharge,Import,MSCU6000010,STS02,V-8YF180025-345369,Y-PEB-F64640C3,8YF180025,MKL,No
25-Nov-25 2205,UNIT_DISCHARGE,Discharge,Transship,ONEY6000011,STS03,V-8YF180025-154714,Y-PEB-F75671C3,8YF180025,MKL,No
25-Nov-25 2206,UNIT_RESTOW,Restow,Transship,MSCU6000006,STS03,Y-PEB-F50574C3,Y-PEB-F34159C1,8YF180025,MKL,No
25-Nov-25 2206,UNIT_LOAD,Load,Export,MAEU6000004,STS03,Y-PEB-F11942C2,V-8YF180025-975522,8YF180025,MKL,Yes
25-Nov-25 2207,UNIT_DISCHARGE,Discharge,Import,MAEU6000004,STS02,V-8YF180025-853448,Y-PEB-F24747C4,8YF180025,MKL,Yes
25-Nov-25 2208,UNIT_RESTOW,Restow,Export,MSCU6000005,STS03,Y-PEB-F75059C3,Y-PEB-F35912C3,8YF180025,MKL,No
