Unit ID,Unit Visit Gkey,Outbound Service,Current Yard Block,Current Slot Position,Move Complete Time
MAEU6006902,3006902,,1K,Y-AECY-1K01501C1,06/09/2026 21:36
MAEU6007450,3007450,,1K,Y-AECY-1K02710C1,06/09/2026 21:36
HLCU6000505,3000505,,1K,Y-AECY-1K03606C1,06/09/2026 21:35
OOLU6001373,3001373,,1K,Y-AECY-1K00303C1,06/09/2026 21:34
HLCU6005065,3005065,,1K,Y-AECY-1K01903C1,06/09/2026 21:34
MAEU6005597,3005597,,1K,Y-AECY-1K03903C1,06/09/2026 21:33
OOLU6005283,3005283,,1K,Y-AECY-1K03708C1,06/09/2026 21:31
TRLU6000582,3000582,,1K,Y-AECY-1K01902C1,06/09/2026 21:30
HLCU6002096,3002096,,1K,Y-AECY-1K04001C1,06/09/2026 21:27
OOLU6006295,3006295,,1K,Y-AECY-1K03206C1,06/09/2026 21:27
ONEY6004558,3004558,,1K,Y-AECY-1K00206C1,06/09/2026 21:25
OOLU6006490,3006490,,1K,Y-AECY-1K03506C1,06/09/2026 21:23
GCXU6007876,3007876,,1K,Y-AECY-1K01104C1,06/09/2026 21:22
TRLU6007767,3007767,,1K,Y-AECY-1K03405C1,06/09/2026 21:21
ONEY6007875,3007875,,1K,Y-AECY-1K01310C1,06/09/2026 21:20
ONEY6005718,3005718,,1K,Y-AECY-1K02009C1,06/09/2026 21:18
MAEU6003223,3003223,,1K,Y-AECY-1K02602C1,06/09/2026 21:17
TRLU6001138,3001138,,1K,Y-AECY-1K02807C1,06/09/2026 21:16
CMAU6007681,3007681,,1K,Y-AECY-1K01601C1,06/09/2026 21:15
GCXU6006860,3006860,,1K,Y-AECY-1K02310C1,06/09/2026 21:14
TRLU6001694,3001694,,1K,Y-AECY-1K02907C1,06/09/2026 21:12
HLCU6005859,3005859,,1K,Y-AECY-1K03106C1,06/09/2026 21:11
CMAU6006820,3006820,,1K,Y-AECY-1K02207C1,06/09/2026 21:11
MAEU6007736,3007736,,1K,Y-AECY-1K01310C2,06/09/2026 21:10
TRLU6006816,3006816,,1K,Y-AECY-1K02307C1,06/09/2026 21:09
MSCU6002035,3002035,,1K,Y-AECY-1K02509C1,06/09/2026 21:08
HLCU6007299,3007299,,1K,Y-AECY-1K01809C1,06/09/2026 21:08
CMAU6006443,3006443,,1K,Y-AECY-1K01610C1,06/09/2026 21:07
HLCU6003386,3003386,,1K,Y-AECY-1K03609C1,06/09/2026 21:05
TRLU6007874,3007874,,1K,Y-AECY-1K03401C1,06/09/2026 21:05
HLCU6002999,3002999,,1K,Y-AECY-1K01202C1,06/09/2026 21:03
CMAU6007272,3007272,,1K,Y-AECY-1K00703C1,06/09/2026 21:01
ONEY6002034,3002034,,1K,Y-AECY-1K02304C1,06/09/2026 21:00
GCXU6005456,3005456,,1K,Y-AECY-1K02406C1,06/09/2026 07:51
OOLU6007606,3007606,,1K,Y-AECY-1K01201C1,06/09/2026 07:51
ONEY6003005,3003005,,1K,Y-AECY-1K02210C1,06/09/2026 07:50
HLCU6004727,3004727,,1K,Y-AECY-1K01808C1,06/09/2026 07:48
CMAU6007873,3007873,,1K,Y-AECY-1K02502C1,06/09/2026 07:48
CMAU6003757,3003757,,1K,Y-AECY-1K01101C1,06/09/2026 07:46
CMAU6007872,3007872,,1K,Y-AECY-1K01807C1,06/09/2026 07:45
CMAU6006652,3006652,,1K,Y-AECY-1K04006C1,06/09/2026 07:44
HLCU6003986,3003986,,1K,Y-AECY-1K04002C1,06/09/2026 07:41
TRLU6001173,3001173,,1K,Y-AECY-1K04005C1,06/09/2026 07:39
HLCU6000344,3000344,,1K,Y-AECY-1K00506C1,06/09/2026 07:37
CMAU6007787,3007787,,1K,Y-AECY-1K00305C1,06/09/2026 07:37
OOLU6007871,3007871,,1K,Y-AECY-1K03610C1,06/09/2026 07:36
MSCU6004512,3004512,,1K,Y-AECY-1K03505C1,06/09/2026 07:35
TRLU6000538,3000538,,1K,Y-AECY-1K03609C2,06/09/2026 07:34
GCXU6007870,3007870,,1K,Y-AECY-1K00703C2,06/09/2026 07:34
CMAU6001051,3001051,,1K,Y-AECY-1K03603C1,06/09/2026 07:33
CMAU6000346,3000346,,1K,Y-AECY-1K03410C1,06/09/2026 07:32
