Time Completed,Event Type,Move Kind,Unit Category,Unit Nbr,Crane CHE,From Position,To Position,Carrier Visit,Line Op,Exclude
25-Dec-13 0208,UNIT_DISCHARGE,Discharge,Import,HLCU6000001,STS04,V-MAE180133-794083,Y-AECY-1G02210C1,MAE180133,ONE,No
25-Dec-13 0208,UNIT_RESTOW,Restow,Export,HLCU6000001,STS05,Y-AECY-1G00307C1,Y-AECY-1G02404C1,MAE180133,ONE,No
25-Dec-13 0209,UNIT_LOAD,Load,Import,HLCU6000001,STS05,Y-AECY-1G03104C1,V-MAE180133-485709,MAE180133,ONE,No
25-Dec-13 0209,UNIT_RESTOW,Restow,Import,MAEU6000002,STS06,Y-AECY-1A01902C1,Y-AECY-1A01105C1,MAE180133,ONE,No
25-Dec-13 0210,UNIT_LOAD,Load,Import,MAEU6000002,STS06,Y-AECY-1A00207C1,V-MAE180133-155843,MAE180133,ONE,No
25-Dec-13 0211,UNIT_DISCHARGE,Discharge,Import,MAEU6000002,STS05,V-MAE180133-203896,Y-AECY-1G02203C1,MAE180133,ONE,No
25-Dec-13 0211,UNIT_RESTOW,Restow,Export,MAEU6000002,STS05,Y-AECY-1G00601C1,Y-AECY-1G01704C1,MAE180133,ONE,No
25-Dec-13 0212,UNIT_LOAD,Load,Export,MAEU6000002,STS05,Y-AECY-1G02002C1,V-MAE180133-150068,MAE180133,ONE,No
25-Dec-13 0213,UNIT_DISCHARGE,Discharge,Export,MAEU6000002,STS04,V-MAE180133-725726,Y-AECY-1G03501C1,MAE180133,ONE,No
25-Dec-13 0213,UNIT_DISCHARGE,Discharge,Transship,HLCU6000001,STS06,V-MAE180133-744674,Y-AECY-1G02304C1,MAE180133,ONE,No
25-Dec-13 0214,UNIT_DISCHARGE,Discharge,Export,TRLU6000003,STS03,V-MAE180133-461551,Y-AECY-1G01602C1,MAE180133,ONE,No
25-Dec-13 0214,UNIT_LOAD,Load,Export,HLCU6000001,STS05,Y-AECY-1G03506C1,V-MAE180133-953025,MAE180133,ONE,Yes
25-Dec-13 0215,UNIT_DISCHARGE,Discharge,Transship,HLCU6000001,STS04,V-MAE180133-166165,Y-AECY-1G03001C1,MAE180133,ONE,No
25-Dec-13 0216,UNIT_DISCHARGE,Discharge,Import,OOLU6000004,STS05,V-MAE180133-787584,Y-AECY-1G02205C1,MAE180133,ONE,Yes
25-Dec-13 0216,UNIT_LOAD,Load,Export,MAEU6000002,STS03,Y-AECY-1G02203C2,V-MAE180133-620306,MAE180133,ONE,No
25-Dec-13 0217,UNIT_DISCHARGE,Discharge,Import,MAEU6000002,STS06,V-MAE180133-551524,Y-AECY-1G03903C1,MAE180133,ONE,No
25-Dec-13 0218,UNIT_DISCHARGE,Discharge,Transship,OOLU6000005,STS06,V-MAE180133-744718,Y-AECY-1G02805C1,MAE180133,ONE,Yes
25-Dec-13 0218,UNIT_DISCHARGE,Discharge,Import,OOLU6000006,STS05,V-MAE180133-734487,Y-AECY-1G01008C1,MAE180133,ONE,No
25-Dec-13 0219,UNIT_RESTOW,Restow,Transship,OOLU6000006,STS05,Y-AECY-1G02606C1,Y-AECY-1G01804C1,MAE180133,ONE,Yes
25-Dec-13 0220,UNIT_DISCHARGE,Discharge,Export,TRLU6000007,STS05,V-MAE180133-242321,Y-AECY-1G00508C1,MAE180133,ONE,No
25-Dec-13 0220,UNIT_DISCHARGE,Discharge,Transship,OOLU6000008,STS04,V-MAE180133-932250,Y-AECY-1G02409C1,MAE180133,ONE,No
25-Dec-13 0221,UNIT_RESTOW,Restow,Export,HLCU6000001,STS06,Y-AECY-1G03610C1,Y-AECY-1G02408C1,MAE180133,ONE,No
25-Dec-13 0222,UNIT_DISCHARGE,Discharge,Export,CMAU6000009,STS03,V-MAE180133-773540,Y-AECY-1G00508C2,MAE180133,ONE,No
25-Dec-13 0222,UNIT_DISCHARGE,Discharge,Export,MSCU6000010,STS03,V-MAE180133-987025,Y-AECY-1G00605C1,MAE180133,ONE,No
25-Dec-13 0223,UNIT_RESTOW,Restow,Export,TRLU6000007,STS03,Y-AECY-1G03810C1,Y-AECY-1G01003C1,MAE180133,ONE,No
25-Dec-13 0224,UNIT_DISCHARGE,Discharge,Import,GCXU6000011,STS05,V-MAE180133-622230,Y-AECY-1G03505C1,MAE180133,ONE,No
25-Dec-13 0224,UNIT_RESTOW,Restow,Transship,HLCU6000001,STS03,Y-AECY-1G03002C1,Y-AECY-1G00403C1,MAE180133,ONE,No
25-Dec-13 0225,UNIT_DISCHARGE,Discharge,Transship,OOLU6000012,STS04,V-MAE180133-353480,Y-AECY-1G03002C2,MAE180133,ONE,No
25-Dec-13 0225,UNIT_DISCHARGE,Discharge,Import,GCXU6000013,STS05,V-MAE180133-299055,Y-AECY-1G01108C1,MAE180133,ONE,No
25-Dec-13 0226,UNIT_DISCHARGE,Discharge,Transship,ONEY6000014,STS05,V-MAE180133-726543,Y-AECY-1G03105C1,MAE180133,ONE,No
25-Dec-13 0227,UNIT_DISCHARGE,Discharge,Export,CMAU6000015,STS03,V-MAE180133-177103,Y-AECY-1G02509C1,MAE180133,ONE,No
25-Dec-13 0227,UNIT_DISCHARGE,Discharge,Import,MSCU6000016,STS05,V-MAE180133-147504,Y-AECY-1G00303C1,MAE180133,ONE,No
25-Dec-13 0228,UNIT_LOAD,Load,Import,OOLU6000004,STS03,Y-AECY-1G04006C1,V-MAE180133-270395,MAE180133,ONE,Yes
